,path,transcription,action,object,location,Content_Parsed_1,Content_Parsed_2,Content_Parsed_3,Content_Parsed_4
11,wavs/speakers/BvyakyrDmQfWEABb/abd3b960-45fe-11e9-bc65-55b32b211b66.wav,Turn up the heat in the washroom,increase,heat,washroom,turn up the heat in the washroom,turn up the heat in the washroom,turn up the heat in the washroom,turn up the heat in the washroom
12,wavs/speakers/anvKyBjB5OiP5dYZ/90f8f3d0-4577-11e9-9600-8f19ade2128c.wav,Decrease the heating in the bedroom,decrease,heat,bedroom,decrease the heating in the bedroom,decrease the heating in the bedroom,decrease the heating in the bedroom,decrease the heat in the bedroom
13,wavs/speakers/gNYvkbx3gof2Y3V9/59747f30-44e4-11e9-bb82-bdba769643e7.wav,Turn the bedroom heat up,increase,heat,bedroom,turn the bedroom heat up,turn the bedroom heat up,turn the bedroom heat up,turn the bedroom heat up
14,wavs/speakers/xRQE5VD7rRHVdyvM/c0d09600-45c5-11e9-8ec0-7bf21d1cfe30.wav,Increase the temperature,increase,heat,none,increase the temperature,increase the temperature,increase the temperature,increase the temperature
15,wavs/speakers/EExgNZ9dvgTE3928/ee3f2770-4613-11e9-bc65-55b32b211b66.wav,Increase the heating in the washroom,increase,heat,washroom,increase the heating in the washroom,increase the heating in the washroom,increase the heating in the washroom,increase the heat in the washroom
16,wavs/speakers/Gym5dABePPHA8mZK9/785075b0-45ef-11e9-aa19-e96346c3828f.wav,Turn down the washroom temperature,decrease,heat,washroom,turn down the washroom temperature,turn down the washroom temperature,turn down the washroom temperature,turn down the washroom temperature
17,wavs/speakers/52XVOeXMXYuaElyw/97136570-45c7-11e9-8ec0-7bf21d1cfe30.wav,Turn the temperature down in the bathroom,decrease,heat,washroom,turn the temperature down in the bathroom,turn the temperature down in the bathroom,turn the temperature down in the bathroom,turn the temperature down in the bathroom
18,wavs/speakers/DMApMRmGq5hjkyvX/0b5a4de0-45dc-11e9-81ce-69b74fd7e64e.wav,Turn the temperature down in the washroom,decrease,heat,washroom,turn the temperature down in the washroom,turn the temperature down in the washroom,turn the temperature down in the washroom,turn the temperature down in the washroom
19,wavs/speakers/RjDBre8jzzhdr4YL/91513b60-4416-11e9-85a0-dd11eb2f13b6.wav,Set the language,change language,none,none,set the language,set the language,set the language,set the language
20,wavs/speakers/WYmlNV2rDkSaALOE/f3cb5570-4437-11e9-beaa-1f3e1eab7bff.wav,Heat down,decrease,heat,none,heat down,heat down,heat down,heat down
21,wavs/speakers/jgxq52DoPpsR9ZRx/97a12490-4519-11e9-9035-7943ec3b842a.wav,I need to practice my English. Switch the language,change language,English,none,i need to practice my english. switch the language,i need to practice my english switch the language,i need to practice my english switch the language,i need to practice my english switch the language
22,wavs/speakers/ywE435j4gVizvw3R/c7d8aa60-4501-11e9-a1ea-79ca03012c0e.wav,"I need to hear this, increase the volume",increase,volume,none,"i need to hear this, increase the volume",i need to hear this increase the volume,i need to hear this increase the volume,i need to hear this increase the volume
23,wavs/speakers/2BqVo8kVB2Skwgyb/f13a75f0-447a-11e9-a9a5-5dbec3b8816a.wav,OK now switch the main language to Chinese,change language,Chinese,none,ok now switch the main language to chinese,ok now switch the main language to chinese,ok now switch the main language to chinese,ok now switch the main language to chinese
24,wavs/speakers/xEYa2wgAQof3wyEO/91fabcf0-4536-11e9-b1e4-e5985dca719e.wav,Turn the lamp off,deactivate,lamp,none,turn the lamp off,turn the lamp off,turn the lamp off,turn the lamp off
25,wavs/speakers/ObdQbr9wyDfbmW4E/13318410-4452-11e9-beaa-1f3e1eab7bff.wav,Bedroom heat up,increase,heat,bedroom,bedroom heat up,bedroom heat up,bedroom heat up,bedroom heat up
26,wavs/speakers/Gym5dABePPHA8mZK9/52d82550-45f2-11e9-aa19-e96346c3828f.wav,Bring me my shoes,bring,shoes,none,bring me my shoes,bring me my shoes,bring me my shoes,bring me my shoe
27,wavs/speakers/R3mXwwoaX9IoRVKe/e1c84e70-454d-11e9-aa52-bf2189a03a60.wav,Decrease the temperature in the bathroom,decrease,heat,washroom,decrease the temperature in the bathroom,decrease the temperature in the bathroom,decrease the temperature in the bathroom,decrease the temperature in the bathroom
28,wavs/speakers/AvR9dePW88IynbaE/36ebd2e0-4522-11e9-a843-8db76f4b5e29.wav,Turn the volume up,increase,volume,none,turn the volume up,turn the volume up,turn the volume up,turn the volume up
29,wavs/speakers/xRQE5VD7rRHVdyvM/b2c33710-45c6-11e9-8ec0-7bf21d1cfe30.wav,Get me the newspaper,bring,newspaper,none,get me the newspaper,get me the newspaper,get me the newspaper,get me the newspaper
30,wavs/speakers/gvKeNY2D3Rs2jRdL/6289ea40-4595-11e9-9600-8f19ade2128c.wav,I can't hear that,increase,volume,none,i can't hear that,i can't hear that,i can't hear that,i can't hear that
31,wavs/speakers/oXjpaOq4wVUezb3x/3f0c6140-4510-11e9-9539-7f047cfe24d1.wav,Set language to Chinese,change language,Chinese,none,set language to chinese,set language to chinese,set language to chinese,set language to chinese
32,wavs/speakers/jgxq52DoPpsR9ZRx/42234f20-4519-11e9-9035-7943ec3b842a.wav,Fetch my socks,bring,socks,none,fetch my socks,fetch my socks,fetch my socks,fetch my sock
33,wavs/speakers/xwzgmmv5ZOiVaxXz/d8570780-453b-11e9-b1e4-e5985dca719e.wav,Washroom heat up,increase,heat,washroom,washroom heat up,washroom heat up,washroom heat up,washroom heat up
34,wavs/speakers/AvR9dePW88IynbaE/83eb20a0-4522-11e9-a843-8db76f4b5e29.wav,Switch on the kitchen lights,activate,lights,kitchen,switch on the kitchen lights,switch on the kitchen lights,switch on the kitchen lights,switch on the kitchen light
35,wavs/speakers/n5XllaB4gZFwZXkBz/6dba0320-45f2-11e9-aa19-e96346c3828f.wav,Turn the lamp off,deactivate,lamp,none,turn the lamp off,turn the lamp off,turn the lamp off,turn the lamp off
36,wavs/speakers/R3mXwwoaX9IoRVKe/e0454a30-4548-11e9-aa52-bf2189a03a60.wav,Kitchen lights off,deactivate,lights,kitchen,kitchen lights off,kitchen lights off,kitchen lights off,kitchen light off
37,wavs/speakers/zaEBPeMY4NUbDnZy/a3076f40-44df-11e9-a8b6-e96f2628bf65.wav,Change system language,change language,none,none,change system language,change system language,change system language,change system language
38,wavs/speakers/mor8vDGkaOHzLLWBp/ba249060-4541-11e9-b1e4-e5985dca719e.wav,Turn down the heat in the bathroom,decrease,heat,washroom,turn down the heat in the bathroom,turn down the heat in the bathroom,turn down the heat in the bathroom,turn down the heat in the bathroom
39,wavs/speakers/W7LeKXje7QhZlLKe/107491d0-4561-11e9-9600-8f19ade2128c.wav,Switch the bedroom lights on,activate,lights,bedroom,switch the bedroom lights on,switch the bedroom lights on,switch the bedroom lights on,switch the bedroom light on
40,wavs/speakers/AvR9dePW88IynbaE/08eed290-4520-11e9-a843-8db76f4b5e29.wav,Lights off in the kitchen,deactivate,lights,kitchen,lights off in the kitchen,lights off in the kitchen,lights off in the kitchen,light off in the kitchen
41,wavs/speakers/qNY4Qwveojc8jlm4/586a5240-44d0-11e9-a8b6-e96f2628bf65.wav,Increase the heating,increase,heat,none,increase the heating,increase the heating,increase the heating,increase the heat
42,wavs/speakers/ppzZqYxGkESMdA5Az/c5a1a130-4474-11e9-a9a5-5dbec3b8816a.wav,Turn the lights off in the kitchen,deactivate,lights,kitchen,turn the lights off in the kitchen,turn the lights off in the kitchen,turn the lights off in the kitchen,turn the light off in the kitchen
43,wavs/speakers/W4XOzzNEbrtZz4dW/c41222c0-44d0-11e9-a8b6-e96f2628bf65.wav,Decrease the temperature in the washroom,decrease,heat,washroom,decrease the temperature in the washroom,decrease the temperature in the washroom,decrease the temperature in the washroom,decrease the temperature in the washroom
44,wavs/speakers/52XVOeXMXYuaElyw/36495ed0-45c6-11e9-8ec0-7bf21d1cfe30.wav,Lights on in the bathroom,activate,lights,washroom,lights on in the bathroom,lights on in the bathroom,lights on in the bathroom,light on in the bathroom
45,wavs/speakers/xwzgmmv5ZOiVaxXz/3b2677e0-4539-11e9-b1e4-e5985dca719e.wav,Bring socks,bring,socks,none,bring socks,bring socks,bring socks,bring sock
46,wavs/speakers/EExgNZ9dvgTE3928/0c688160-460f-11e9-bc65-55b32b211b66.wav,Make the music louder,increase,volume,none,make the music louder,make the music louder,make the music louder,make the music louder
47,wavs/speakers/zZezMeg5XvcbRdg3/a1c59830-45d6-11e9-81ce-69b74fd7e64e.wav,"It’s too loud, turn it down",decrease,volume,none,"it’s too loud, turn it down",it’s too loud turn it down,it’s too loud turn it down,it’s too loud turn it down
48,wavs/speakers/oRrwPDNPlAieQr8Q/9656f150-4519-11e9-9035-7943ec3b842a.wav,"I need to hear this, increase the volume",increase,volume,none,"i need to hear this, increase the volume",i need to hear this increase the volume,i need to hear this increase the volume,i need to hear this increase the volume
49,wavs/speakers/Rq9EA8dEeZcEwada2/000c6f00-45db-11e9-81ce-69b74fd7e64e.wav,Make the music louder,increase,volume,none,make the music louder,make the music louder,make the music louder,make the music louder
50,wavs/speakers/Gym5dABePPHA8mZK9/cf106810-45ef-11e9-aa19-e96346c3828f.wav,Bring shoes,bring,shoes,none,bring shoes,bring shoes,bring shoes,bring shoe
51,wavs/speakers/ZebMRl5Z7dhrPKRD/3b8501e0-4555-11e9-aa52-bf2189a03a60.wav,Switch off the washroom lights,deactivate,lights,washroom,switch off the washroom lights,switch off the washroom lights,switch off the washroom lights,switch off the washroom light
52,wavs/speakers/mor8vDGkaOHzLLWBp/48d1ca90-4541-11e9-b1e4-e5985dca719e.wav,Turn the bedroom heat up,increase,heat,bedroom,turn the bedroom heat up,turn the bedroom heat up,turn the bedroom heat up,turn the bedroom heat up
53,wavs/speakers/W4XOzzNEbrtZz4dW/6d77a7d0-44d2-11e9-a8b6-e96f2628bf65.wav,Louder phone,increase,volume,none,louder phone,louder phone,louder phone,louder phone
54,wavs/speakers/9EWlVBQo9rtqRYdy/8fc43630-45ec-11e9-aa19-e96346c3828f.wav,Switch off the lights in the kitchen,deactivate,lights,kitchen,switch off the lights in the kitchen,switch off the lights in the kitchen,switch off the lights in the kitchen,switch off the light in the kitchen
55,wavs/speakers/oXjpaOq4wVUezb3x/1a202110-450f-11e9-9539-7f047cfe24d1.wav,"It’s too loud, turn the volume down",decrease,volume,none,"it’s too loud, turn the volume down",it’s too loud turn the volume down,it’s too loud turn the volume down,it’s too loud turn the volume down
56,wavs/speakers/M4ybygBlWqImBn9oZ/7146ecf0-454e-11e9-aa52-bf2189a03a60.wav,Make it louder,increase,volume,none,make it louder,make it louder,make it louder,make it louder
57,wavs/speakers/Rq9EA8dEeZcEwada2/84fd06c0-45db-11e9-81ce-69b74fd7e64e.wav,Lights on in the bathroom,activate,lights,washroom,lights on in the bathroom,lights on in the bathroom,lights on in the bathroom,light on in the bathroom
58,wavs/speakers/kxgXN97ALmHbaezp/54ff3d70-4465-11e9-beaa-1f3e1eab7bff.wav,Turn up the heat in the washroom,increase,heat,washroom,turn up the heat in the washroom,turn up the heat in the washroom,turn up the heat in the washroom,turn up the heat in the washroom
59,wavs/speakers/35v28XaVEns4WXOv/049f81a0-449c-11e9-a9a5-5dbec3b8816a.wav,Change language,change language,none,none,change language,change language,change language,change language
60,wavs/speakers/n5XllaB4gZFwZXkBz/f3231bb0-45f1-11e9-aa19-e96346c3828f.wav,Turn off the lights,deactivate,lights,none,turn off the lights,turn off the lights,turn off the lights,turn off the light
61,wavs/speakers/YbmvamEWQ8faDPx2/74487440-45ea-11e9-b578-494a5b19ab8b.wav,Louder,increase,volume,none,louder,louder,louder,louder
62,wavs/speakers/ro5AaKwypZIqNEp2/5a007480-4481-11e9-a9a5-5dbec3b8816a.wav,Change the language,change language,none,none,change the language,change the language,change the language,change the language
63,wavs/speakers/anvKyBjB5OiP5dYZ/019e62a0-4578-11e9-9600-8f19ade2128c.wav,Switch the language,change language,none,none,switch the language,switch the language,switch the language,switch the language
64,wavs/speakers/EExgNZ9dvgTE3928/5c149840-4612-11e9-bc65-55b32b211b66.wav,Turn off the music,deactivate,music,none,turn off the music,turn off the music,turn off the music,turn off the music
65,wavs/speakers/kxgXN97ALmHbaezp/f1be7500-4464-11e9-beaa-1f3e1eab7bff.wav,Turn sound down,decrease,volume,none,turn sound down,turn sound down,turn sound down,turn sound down
66,wavs/speakers/7NEaXjeLX3sg3yDB/7aa02f20-454c-11e9-aa52-bf2189a03a60.wav,Bring the newspaper,bring,newspaper,none,bring the newspaper,bring the newspaper,bring the newspaper,bring the newspaper
67,wavs/speakers/zaEBPeMY4NUbDnZy/856a4960-44dc-11e9-a8b6-e96f2628bf65.wav,Turn up the temperature in the kitchen,increase,heat,kitchen,turn up the temperature in the kitchen,turn up the temperature in the kitchen,turn up the temperature in the kitchen,turn up the temperature in the kitchen
68,wavs/speakers/qNY4Qwveojc8jlm4/6542e540-44d0-11e9-a8b6-e96f2628bf65.wav,Turn the kitchen temperature up,increase,heat,kitchen,turn the kitchen temperature up,turn the kitchen temperature up,turn the kitchen temperature up,turn the kitchen temperature up
69,wavs/speakers/8e5qRjN7dGuovkRY/a0bc6b90-4594-11e9-9600-8f19ade2128c.wav,Kitchen lights off,deactivate,lights,kitchen,kitchen lights off,kitchen lights off,kitchen lights off,kitchen light off
70,wavs/speakers/gvKeNY2D3Rs2jRdL/479d6bd0-459a-11e9-bf4b-216bfa333ac2.wav,Turn down the heat in the bathroom,decrease,heat,washroom,turn down the heat in the bathroom,turn down the heat in the bathroom,turn down the heat in the bathroom,turn down the heat in the bathroom
71,wavs/speakers/Xygv5loxdZtrywr9/d003b3b0-4529-11e9-a843-8db76f4b5e29.wav,Turn the temperature down,decrease,heat,none,turn the temperature down,turn the temperature down,turn the temperature down,turn the temperature down
72,wavs/speakers/R3mexpM2YAtdPbL7/b89c5340-4500-11e9-a1ea-79ca03012c0e.wav,Get me my shoes,bring,shoes,none,get me my shoes,get me my shoes,get me my shoes,get me my shoe
73,wavs/speakers/35v28XaVEns4WXOv/535ad310-44a3-11e9-a9a5-5dbec3b8816a.wav,Go get me my shoes,bring,shoes,none,go get me my shoes,go get me my shoes,go get me my shoes,go get me my shoe
74,wavs/speakers/G3QxQd7qGRuXAZda/fc9f0fd0-45e9-11e9-b578-494a5b19ab8b.wav,Bring the newspaper,bring,newspaper,none,bring the newspaper,bring the newspaper,bring the newspaper,bring the newspaper
75,wavs/speakers/2ojo7YRL7Gck83Z3/f95c41e0-45de-11e9-81ce-69b74fd7e64e.wav,Switch the lights off in the kitchen,deactivate,lights,kitchen,switch the lights off in the kitchen,switch the lights off in the kitchen,switch the lights off in the kitchen,switch the light off in the kitchen
76,wavs/speakers/BvyakyrDmQfWEABb/e14319d0-4606-11e9-bc65-55b32b211b66.wav,Turn the lights on,activate,lights,none,turn the lights on,turn the lights on,turn the lights on,turn the light on
77,wavs/speakers/ppzZqYxGkESMdA5Az/4c4ed280-4474-11e9-a9a5-5dbec3b8816a.wav,Turn off the music,deactivate,music,none,turn off the music,turn off the music,turn off the music,turn off the music
78,wavs/speakers/5o9BvRGEGvhaeBwA/f1583050-44ec-11e9-a1ea-79ca03012c0e.wav,Lights off in the washroom,deactivate,lights,washroom,lights off in the washroom,lights off in the washroom,lights off in the washroom,light off in the washroom
79,wavs/speakers/mor8vDGkaOHzLLWBp/92a505b0-4541-11e9-b1e4-e5985dca719e.wav,Turn down the temperature in the bedroom,decrease,heat,bedroom,turn down the temperature in the bedroom,turn down the temperature in the bedroom,turn down the temperature in the bedroom,turn down the temperature in the bedroom
80,wavs/speakers/oRrwPDNPlAieQr8Q/9a40d180-4520-11e9-a843-8db76f4b5e29.wav,"It’s too loud, turn the volume down",decrease,volume,none,"it’s too loud, turn the volume down",it’s too loud turn the volume down,it’s too loud turn the volume down,it’s too loud turn the volume down
81,wavs/speakers/kNnmb7MdArswxLYw/4ba3db70-45f3-11e9-aa19-e96346c3828f.wav,Volume lower,decrease,volume,none,volume lower,volume lower,volume lower,volume lower
82,wavs/speakers/Gym5dABePPHA8mZK9/452b32b0-45ef-11e9-aa19-e96346c3828f.wav,Increase the heating in the bathroom,increase,heat,washroom,increase the heating in the bathroom,increase the heating in the bathroom,increase the heating in the bathroom,increase the heat in the bathroom
83,wavs/speakers/R3mexpM2YAtdPbL7/f640c230-44fb-11e9-a1ea-79ca03012c0e.wav,Turn on the bathroom lights,activate,lights,washroom,turn on the bathroom lights,turn on the bathroom lights,turn on the bathroom lights,turn on the bathroom light
84,wavs/speakers/ZebMRl5Z7dhrPKRD/5d194700-4562-11e9-9600-8f19ade2128c.wav,Decrease the temperature in the kitchen,decrease,heat,kitchen,decrease the temperature in the kitchen,decrease the temperature in the kitchen,decrease the temperature in the kitchen,decrease the temperature in the kitchen
85,wavs/speakers/anvKyBjB5OiP5dYZ/56fc2260-4577-11e9-9600-8f19ade2128c.wav,Increase the heating in the bathroom,increase,heat,washroom,increase the heating in the bathroom,increase the heating in the bathroom,increase the heating in the bathroom,increase the heat in the bathroom
86,wavs/speakers/Xygv5loxdZtrywr9/5e8aff10-4518-11e9-9035-7943ec3b842a.wav,Switch off the lamp,deactivate,lamp,none,switch off the lamp,switch off the lamp,switch off the lamp,switch off the lamp
87,wavs/speakers/Rq9EA8dEeZcEwada2/d6952fd0-45d6-11e9-81ce-69b74fd7e64e.wav,Turn the lights on,activate,lights,none,turn the lights on,turn the lights on,turn the lights on,turn the light on
88,wavs/speakers/52XVOeXMXYuaElyw/8b6dfb40-45c7-11e9-8ec0-7bf21d1cfe30.wav,Decrease the temperature in the washroom,decrease,heat,washroom,decrease the temperature in the washroom,decrease the temperature in the washroom,decrease the temperature in the washroom,decrease the temperature in the washroom
89,wavs/speakers/DMApMRmGq5hjkyvX/48bb91f0-45da-11e9-81ce-69b74fd7e64e.wav,OK now switch the main language to English,change language,English,none,ok now switch the main language to english,ok now switch the main language to english,ok now switch the main language to english,ok now switch the main language to english
90,wavs/speakers/AvR9dePW88IynbaE/f5c82c70-451f-11e9-a843-8db76f4b5e29.wav,Bathroom lights on,activate,lights,washroom,bathroom lights on,bathroom lights on,bathroom lights on,bathroom light on
91,wavs/speakers/eLQ3mNg27GHLkDej/e31693a0-453d-11e9-b1e4-e5985dca719e.wav,Could you decrease the heating?,decrease,heat,none,could you decrease the heating?,could you decrease the heating,could you decrease the heating,could you decrease the heat
92,wavs/speakers/xPZw23VxroC3N34k/1056f0f0-450f-11e9-9539-7f047cfe24d1.wav,Kitchen heat up,increase,heat,kitchen,kitchen heat up,kitchen heat up,kitchen heat up,kitchen heat up
93,wavs/speakers/AvR9dePW88IynbaE/075f9520-4522-11e9-a843-8db76f4b5e29.wav,I need to practice my Korean. Switch the language,change language,Korean,none,i need to practice my korean. switch the language,i need to practice my korean switch the language,i need to practice my korean switch the language,i need to practice my korean switch the language
94,wavs/speakers/d2waAp3pEjiWgrDEY/2ef1daf0-4516-11e9-9035-7943ec3b842a.wav,Set language to Korean,change language,Korean,none,set language to korean,set language to korean,set language to korean,set language to korean
95,wavs/speakers/kNnmb7MdArswxLYw/d9578220-45ec-11e9-aa19-e96346c3828f.wav,Turn on the washroom lights,activate,lights,washroom,turn on the washroom lights,turn on the washroom lights,turn on the washroom lights,turn on the washroom light
96,wavs/speakers/2BqVo8kVB2Skwgyb/7017e0b0-447b-11e9-a9a5-5dbec3b8816a.wav,Turn the heat up,increase,heat,none,turn the heat up,turn the heat up,turn the heat up,turn the heat up
97,wavs/speakers/ppzZqYxGkESMdA5Az/0af22ca0-4470-11e9-a9a5-5dbec3b8816a.wav,Washroom lights on,activate,lights,washroom,washroom lights on,washroom lights on,washroom lights on,washroom light on
98,wavs/speakers/DMApMRmGq5hjkyvX/22b9ff40-45db-11e9-81ce-69b74fd7e64e.wav,Switch off the washroom lights,deactivate,lights,washroom,switch off the washroom lights,switch off the washroom lights,switch off the washroom lights,switch off the washroom light
99,wavs/speakers/kNnmb7MdArswxLYw/defdf8b0-45ee-11e9-aa19-e96346c3828f.wav,Go get me my socks,bring,socks,none,go get me my socks,go get me my socks,go get me my socks,go get me my sock
100,wavs/speakers/neaPN7GbBEUex8rV/5d039550-45d4-11e9-9992-dfba019cb646.wav,Switch on the kitchen lights,activate,lights,kitchen,switch on the kitchen lights,switch on the kitchen lights,switch on the kitchen lights,switch on the kitchen light
101,wavs/speakers/RjDBre8jzzhdr4YL/7c31d9e0-4413-11e9-85a0-dd11eb2f13b6.wav,Turn sound down,decrease,volume,none,turn sound down,turn sound down,turn sound down,turn sound down
102,wavs/speakers/n5XllaB4gZFwZXkBz/5bf68490-45f4-11e9-aa19-e96346c3828f.wav,Turn the bedroom heat down,decrease,heat,bedroom,turn the bedroom heat down,turn the bedroom heat down,turn the bedroom heat down,turn the bedroom heat down
103,wavs/speakers/n5XllaB4gZFwZXkBz/86f7ff80-45f3-11e9-aa19-e96346c3828f.wav,Far too loud,decrease,volume,none,far too loud,far too loud,far too loud,far too loud
104,wavs/speakers/YbmvamEWQ8faDPx2/771995a0-45ea-11e9-b578-494a5b19ab8b.wav,Volume max,increase,volume,none,volume max,volume max,volume max,volume max
105,wavs/speakers/5BEzPgPKe8taG9OB/de78d480-457d-11e9-9600-8f19ade2128c.wav,Turn down the heat,decrease,heat,none,turn down the heat,turn down the heat,turn down the heat,turn down the heat
106,wavs/speakers/Xygv5loxdZtrywr9/15af01f0-4528-11e9-a843-8db76f4b5e29.wav,Turn the temperature up in the bathroom,increase,heat,washroom,turn the temperature up in the bathroom,turn the temperature up in the bathroom,turn the temperature up in the bathroom,turn the temperature up in the bathroom
107,wavs/speakers/oXjpaOq4wVUezb3x/0b544990-450f-11e9-9539-7f047cfe24d1.wav,Decrease the volume,decrease,volume,none,decrease the volume,decrease the volume,decrease the volume,decrease the volume
108,wavs/speakers/wa3mwLV3ldIqnGnV/2d8fce00-44d6-11e9-a8b6-e96f2628bf65.wav,Louder phone,increase,volume,none,louder phone,louder phone,louder phone,louder phone
109,wavs/speakers/AY5e3mMgZkIyG3Ox/74ad61a0-446b-11e9-beaa-1f3e1eab7bff.wav,Turn up the washroom temperature,increase,heat,washroom,turn up the washroom temperature,turn up the washroom temperature,turn up the washroom temperature,turn up the washroom temperature
110,wavs/speakers/W4XOzzNEbrtZz4dW/fdec29f0-44d0-11e9-a8b6-e96f2628bf65.wav,Bring me some juice,bring,juice,none,bring me some juice,bring me some juice,bring me some juice,bring me some juice
111,wavs/speakers/73bEEYMKLwtmVwV43/2f5f0490-452a-11e9-a843-8db76f4b5e29.wav,Decrease the temperature in the washroom,decrease,heat,washroom,decrease the temperature in the washroom,decrease the temperature in the washroom,decrease the temperature in the washroom,decrease the temperature in the washroom
112,wavs/speakers/kNnmb7MdArswxLYw/60a47c40-45f4-11e9-aa19-e96346c3828f.wav,Decrease the heating in the bathroom,decrease,heat,washroom,decrease the heating in the bathroom,decrease the heating in the bathroom,decrease the heating in the bathroom,decrease the heat in the bathroom
113,wavs/speakers/oXjpaOq4wVUezb3x/3b1e41b0-4511-11e9-9539-7f047cfe24d1.wav,Turn volume down,decrease,volume,none,turn volume down,turn volume down,turn volume down,turn volume down
114,wavs/speakers/d3erpmyk9yFlVyrZ/99c2bd70-4608-11e9-bc65-55b32b211b66.wav,Less heat,decrease,heat,none,less heat,less heat,less heat,less heat
115,wavs/speakers/neaPN7GbBEUex8rV/f3cdfd50-45d3-11e9-9992-dfba019cb646.wav,Switch on the lights,activate,lights,none,switch on the lights,switch on the lights,switch on the lights,switch on the light
116,wavs/speakers/wa3mwLV3ldIqnGnV/1db2b4f0-44d3-11e9-a8b6-e96f2628bf65.wav,Switch on the lights in the kitchen,activate,lights,kitchen,switch on the lights in the kitchen,switch on the lights in the kitchen,switch on the lights in the kitchen,switch on the light in the kitchen
117,wavs/speakers/xEYa2wgAQof3wyEO/e37ac2c0-4534-11e9-b1e4-e5985dca719e.wav,Get me some juice,bring,juice,none,get me some juice,get me some juice,get me some juice,get me some juice
118,wavs/speakers/oXjpaOq4wVUezb3x/61d6abd0-4511-11e9-9539-7f047cfe24d1.wav,Could you increase the heating please?,increase,heat,none,could you increase the heating please?,could you increase the heating please,could you increase the heating please,could you increase the heat please
119,wavs/speakers/R3mXwwoaX9IoRVKe/0e48f6b0-454a-11e9-aa52-bf2189a03a60.wav,"It’s too loud, turn the volume down",decrease,volume,none,"it’s too loud, turn the volume down",it’s too loud turn the volume down,it’s too loud turn the volume down,it’s too loud turn the volume down
120,wavs/speakers/2ojo7YRL7Gck83Z3/cebd6e70-45e1-11e9-81ce-69b74fd7e64e.wav,Turn the bathroom lights on,activate,lights,washroom,turn the bathroom lights on,turn the bathroom lights on,turn the bathroom lights on,turn the bathroom light on
121,wavs/speakers/G3QxQd7qGRuXAZda/71a37350-45e7-11e9-b578-494a5b19ab8b.wav,Turn the temperature down in the washroom,decrease,heat,washroom,turn the temperature down in the washroom,turn the temperature down in the washroom,turn the temperature down in the washroom,turn the temperature down in the washroom
122,wavs/speakers/zZezMeg5XvcbRdg3/f7eae650-45d8-11e9-81ce-69b74fd7e64e.wav,Set my device to Chinese,change language,Chinese,none,set my device to chinese,set my device to chinese,set my device to chinese,set my device to chinese
